code.ID,Database,Crop,Crop_Water,Database_Water,orderData,SEV_cond,orderBox,Chl
11,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,31.146
12,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,38.842
13,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,35.061
14,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,32.84
15,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,33.868
16,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,34.147
17,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,31.871
18,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,30.611
19,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,35.024
20,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,33.101
21,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,36.758
22,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,34.771
23,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,25.594
24,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,36.068
25,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,33.476
26,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,36.813
27,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,28.208
28,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,26.56
29,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,36.394
30,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,28.572
31,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,35.706
32,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,33.379
33,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,26.547
34,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,38.594
35,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,29.089
36,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,28.332
37,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,34.059
38,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,37.066
39,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,28.875
40,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,40.714
41,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,39.702
42,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,42.47
43,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,39.092
44,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,36.433
45,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,38.331
46,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,36.129
47,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,24.799
48,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,28.107
49,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,22.223
50,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,35.505
51,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,37.111
52,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,26.282
53,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,37.9
54,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,37.364
55,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,37.801
56,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,36.547
57,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,33.256
58,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,38.492
59,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,39.018
60,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,38.463
61,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,39.012
62,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,40.237
63,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,41.239
64,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,41.459
65,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,36.463
66,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,38.898
67,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,37.123
68,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,39.437
69,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,36.563
86,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,43.326
87,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,39.539
88,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,34.548
89,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,35.285
90,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,39.023
91,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,36.533
92,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,31.39
93,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,35.906
94,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,41.52
95,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,36.009
96,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,36.252
