code.rfl,Database,Crop,Crop_Water,Database_Water,orderData,SEV_cond,orderBox,PRIn
1,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.028629658
2,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.02518254
4,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.013740225
5,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.024736894
7,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.021017925
8,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.016397553
9,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.029754813
10,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.036762961
11,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.036689668
12,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.036799088
13,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.036424803
14,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.038374356
15,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.03050164
16,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.035101295
17,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.04407355
18,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.039661814
19,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.031890787
20,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.037281571
21,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.031042855
22,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.036473215
23,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.031933726
24,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.027266187
25,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.046687272
26,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.046168073
27,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.041124947
29,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.038084997
30,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.030811054
31,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.040265538
32,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.036766034
33,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.044541024
