ft.id,Database,Crop,Crop_Water,Database_Water,orderData,SEV_cond,orderBox,Ft
1,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,1570
2,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,2382
3,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,1848
4,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,2253
5,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,2019
6,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,1907
7,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,2049
8,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,2009
9,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,1868
10,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,1821
11,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,1923
12,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,2034
13,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,1653
14,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,1837
15,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,1560
16,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,2163
17,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,2807
18,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,728
19,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,4009
20,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,2762
21,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,1065
22,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,2274
23,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,1364
24,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,791
25,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,1737
72,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1274
73,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1709
74,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,3204
75,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1783
76,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,2542
77,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1347
78,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,2394
79,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,2633
80,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1645
81,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,2351
82,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1740
83,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,2203
84,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,3269
85,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,3013
86,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1721
87,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,3352
134,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1378
135,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,2101
136,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,2193
137,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1645
138,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1547
139,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,2461
140,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1670
141,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1810
142,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,2038
143,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1582
144,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1952
145,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,2129
146,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,3298
147,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,2210
148,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1633
166,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1416
167,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1810
168,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1643
169,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1633
170,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1775
171,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1397
172,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1820
173,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1703
174,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,2318
175,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1680
176,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1726
177,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1822
178,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,1383
